Date,Open,High,Low,Close,Volume,Daily_Return,MA20,MA50,MA200,Volatility_30,Cumulative_Return
2024-01-23,41.9,45.4,41.9,43.9,715984,,,,,,
2024-01-24,41.5,43.3,41.5,42.4,170898,-0.034168564920273314,,,,,0.9658314350797267
2024-01-25,41.5,42.0,40.5,40.6,192328,-0.04245283018867918,,,,,0.9248291571753987
2024-01-28,40.1,41.1,38.0,38.4,127931,-0.054187192118226646,,,,,0.8747152619589977
2024-01-29,39.7,39.9,37.3,38.0,227864,-0.01041666666666663,,,,,0.8656036446469249
2024-01-30,38.6,40.4,38.3,38.9,180513,0.023684210526315752,,,,,0.8861047835990888
2024-01-31,39.0,39.2,38.4,38.7,59011,-0.005141388174807138,,,,,0.8815489749430524
2024-02-01,38.5,42.5,38.4,41.4,193166,0.06976744186046502,,,,,0.9430523917995444
2024-02-04,41.4,45.0,41.4,42.3,275618,0.021739130434782483,,,,,0.9635535307517082
2024-02-05,42.8,44.4,42.0,43.5,207350,0.028368794326241176,,,,,0.990888382687927
2024-02-06,43.9,44.0,42.2,42.7,142578,-0.018390804597701038,,,,,0.9726651480637813
2024-02-07,42.5,43.0,41.5,42.6,155704,-0.0023419203747072626,,,,,0.9703872437357631
2024-02-08,42.4,42.9,42.0,42.3,182498,-0.007042253521126862,,,,,0.9635535307517084
2024-02-11,43.3,44.4,42.3,43.8,498751,0.03546099290780136,,,,,0.9977220956719817
2024-02-12,44.3,45.2,43.0,43.3,233966,-0.011415525114155223,,,,,0.9863325740318906
2024-02-13,43.4,44.1,42.5,42.6,183172,-0.016166281755196188,,,,,0.9703872437357631
2024-02-14,43.0,43.0,41.5,41.9,99282,-0.016431924882629123,,,,,0.9544419134396356
2024-02-15,41.0,42.5,41.0,41.8,95617,-0.0023866348448687846,,,,,0.9521640091116174
2024-02-18,41.7,41.7,40.8,41.0,88872,-0.019138755980861122,,,,,0.9339407744874717
2024-02-19,40.4,41.0,40.3,40.6,53108,-0.009756097560975618,41.535000000000004,,,,0.9248291571753988
2024-02-20,40.2,40.9,40.1,40.6,63078,0.0,41.37,,,,0.9248291571753988
2024-02-22,40.9,41.2,40.0,40.2,99860,-0.009852216748768461,41.260000000000005,,,,0.9157175398633259
2024-02-25,40.2,40.3,39.9,40.0,70533,-0.004975124378109541,41.230000000000004,,,,0.9111617312072894
2024-02-27,40.1,40.4,39.9,40.1,48524,0.0024999999999999467,41.315000000000005,,,,0.9134396355353076
2024-02-28,40.0,40.4,40.0,40.0,69649,-0.0024937655860349794,41.415000000000006,,,,0.9111617312072893
2024-02-29,40.0,40.4,39.8,39.8,78570,-0.0050000000000001155,41.459999999999994,,,,0.9066059225512527
2024-03-03,40.0,40.0,39.3,39.4,56808,-0.01005025125628134,41.495,,,,0.8974943052391798
2024-03-04,39.3,39.8,38.8,39.0,77633,-0.01015228426395931,41.375,,,,0.8883826879271071
2024-03-05,40.0,40.0,38.8,39.0,50462,0.0,41.209999999999994,,,,0.8883826879271071
2024-03-06,39.0,39.5,38.5,39.1,68164,0.002564102564102555,40.989999999999995,,,,0.8906605922551253
2024-03-07,40.0,40.0,38.6,38.8,174133,-0.007672634271099876,40.795,,,0.02312643178600639,0.8838268792710705
2024-03-10,39.2,39.2,38.5,38.7,68408,-0.002577319587628746,40.6,,,0.022406405364688284,0.8815489749430524
2024-03-11,38.5,39.1,38.0,38.2,61706,-0.012919896640826822,40.394999999999996,,,0.021221549715999936,0.8701594533029613
2024-03-12,38.0,39.0,37.7,38.2,33129,0.0,40.114999999999995,,,0.018775213568347368,0.8701594533029613
2024-03-13,39.8,39.8,37.2,37.5,65752,-0.01832460732984298,39.825,,,0.0189807756455989,0.8542141230068336
2024-03-14,37.6,37.6,37.0,37.1,72151,-0.010666666666666602,39.55,,,0.01851623342844641,0.8451025056947608
2024-03-18,38.4,38.4,35.7,36.0,117637,-0.02964959568733161,39.255,,,0.019213757475422543,0.8200455580865602
2024-03-19,35.1,36.4,33.8,34.0,223122,-0.05555555555555558,38.864999999999995,,,0.016443708434561277,0.7744874715261957
2024-03-20,35.0,35.0,34.2,34.4,92948,0.0117647058823529,38.535,,,0.015948281641449374,0.7835990888382686
2024-03-21,35.5,37.3,35.0,36.7,208131,0.06686046511627919,38.339999999999996,,,0.019923437519391088,0.8359908883826878
2024-03-24,37.0,37.1,36.0,36.3,208878,-0.010899182561308063,38.125,,,0.01980236020475064,0.8268792710706148
2024-03-25,35.8,36.6,35.4,36.2,126895,-0.0027548209366389242,37.925,,,0.019800441008257407,0.8246013667425967
2024-03-27,37.8,37.8,34.8,35.6,181292,-0.016574585635359185,37.705,,,0.01990681765956034,0.8109339407744872
2024-03-28,36.9,36.9,35.0,36.0,44855,0.011235955056179803,37.5,,,0.018637048106207834,0.8200455580865601
2024-03-31,36.0,36.8,35.5,36.6,129941,0.016666666666666607,37.33,,,0.01907394520572076,0.8337129840546694
